position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
99,Scherrer,Ian,CAN,,,96220,,"3 / (0)",135.27
100,Scherrer,Ian,CAN,,,96220,,"3 / (0)",116.76
101,Scherrer,Ian,CAN,,,96220,,"3 / (0)",116.76
103,Scherrer,Ian,CAN,,,96220,,"3 / (0)",135.41
104,Scherrer,Ian,CAN,,,96220,,"3 / (0)",116.76
106,Scherrer,Ian,CAN,,,96220,,"3 / (0)",135.41
106,Scherrer,Ian,CAN,,,96220,,"3 / (0)",135.41
106,Scherrer,Ian,CAN,,,96220,,"3 / (0)",116.76
109,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
110,Scherrer,Ian,CAN,,,96220,,"3 / (0)",130.15
112,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
117,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
119,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
120,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
120,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
120,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
120,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
121,Scherrer,Ian,CAN,,,96220,,"2 / (0)",95.39
121,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
122,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
122,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
122,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
122,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
123,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
126,Scherrer,Ian,CAN,,,96220,,"3 / (0)",106.62
