position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
1,James,Scotty,AUS,26,"1994-07-06 00:00:00",74836,9040117,"3 / (6)",933.33
2,Totsuka,Yuto,JPN,,,81763,9300752,"3 / (10)",875.63
3,Hirano,Ruka,JPN,,,91295,9300799,"3 / (8)",763.71
4,Burgener,Patrick,SUI,26,"1994-06-01 00:00:00",72989,9510239,"3 / (8)",707.30
5,Livingston,Derek,CAN,29,"1991-01-05 00:00:00",79209,9100194,"3 / (4)",690.49
6,Scherrer,Jan,SUI,26,"1994-07-11 00:00:00",63890,9510228,"3 / (9)",664.68
7,Katayama,Raibu,JPN,25,"1995-05-04 00:00:00",83805,9300545,"3 / (3)",659.26
8,Gold,Taylor,USA,26,"1993-11-17 00:00:00",76866,9530459,"3 / (7)",647.58
9,Josey,Chase,USA,25,"1995-03-31 00:00:00",78302,9530715,"3 / (7)",635.46
10,Hoeflich,Andre,GER,23,"1997-04-28 00:00:00",81378,9200110,"3 / (9)",612.56
11,Anai,Ikko,JPN,22,"1997-12-17 00:00:00",82290,9300617,"3 / (4)",592.90
12,Davis,Danny,USA,32,"1988-06-22 00:00:00",60369,9530002,"3 / (3)",561.82
13,Hirano,Kaishu,JPN,,,95889,9300803,"3 / (7)",554.49
14,Wachendorfer,Ryan,USA,24,"1996-02-03 00:00:00",81197,9530811,"3 / (7)",535.17
15,Lee,"Kwang Ki",KOR,26,"1993-10-13 00:00:00",79924,9320033,"3 / (9)",526.47
16,Shigeno,Shuichiro,JPN,,,94996,9300976,"3 / (7)",517.53
17,Blackwell,Chase,USA,21,"1999-02-27 00:00:00",85114,9531125,"3 / (7)",514.36
18,Miller,Toby,USA,20,"2000-02-14 00:00:00",83042,9531142,"3 / (5)",506.91
19,Tait,Rakai,NZL,21,"1998-12-11 00:00:00",85111,9531158,"3 / (7)",500.53
20,Wolle,Jason,USA,20,"1999-11-30 00:00:00",94559,9531295,"3 / (9)",456.07
21,Nakagawa,Kaishu,JPN,,,93137,9300901,"3 / (5)",454.22
22,Habluetzel,David,SUI,24,"1996-04-24 00:00:00",76229,9510324,"3 / (5)",447.09
23,Zhang,Yiwei,CHN,27,"1992-10-03 00:00:00",80528,1124933,"3 / (3)",423.74
24,Lee,Chaeun,KOR,,,95232,,"3 / (3)",418.92
25,Foster,Lucas,USA,20,"1999-09-17 00:00:00",92114,9531230,"3 / (11)",403.26
26,Coyne,Jack,USA,18,"2002-01-17 00:00:00",90779,9531302,"3 / (5)",393.72
27,Lee,Joon-Sik,KOR,18,"2002-03-07 00:00:00",94553,9320173,"3 / (9)",392.15
28,Lechner,Christoph,GER,19,"2000-12-08 00:00:00",92477,9200133,"3 / (7)",386.75
29,Callister,Kent,AUS,24,"1995-11-09 00:00:00",80780,9040186,"3 / (3)",369.58
30,Kikuchihara,Koyata,JPN,,,95076,9300940,"3 / (5)",363.02
31,Fair,Shawn,CAN,19,"2001-06-01 00:00:00",91032,9100854,"3 / (7)",358.61
32,Okesson,Joey,USA,,,96999,9531364,"3 / (6)",355.38
33,Okawa,Kotaro,JPN,,,95886,9300835,"3 / (6)",348.19
34,Pates,Jake,USA,21,"1998-07-30 00:00:00",82989,9530983,"3 / (4)",342.92
35,Wang,Ziyang,CHN,,,97572,1124985,"3 / (6)",340.98
36,Negishi,Shin,JPN,,,93647,9300883,"3 / (3)",339.09
37,Bullock-Womble,Fynn,USA,,,96984,,"3 / (6)",337.55
38,Lee,Hyun-Jun,KOR,,,95239,9320181,"3 / (9)",326.61
39,Lecroy,Kolman,USA,,,96120,9531366,"3 / (10)",317.71
40,Tourki,Liam,FRA,21,"1999-03-25 00:00:00",81604,9190385,"3 / (6)",316.32
41,Ivanov,Victor,SUI,21,"1999-03-21 00:00:00",86860,9510386,"3 / (9)",306.29
42,Allenspach,"Elias Gian",SUI,19,"2001-05-14 00:00:00",88792,,"3 / (5)",305.38
43,Kuchisubo,Raio,JPN,19,"2001-06-09 00:00:00",89482,9300754,"3 / (5)",304.79
44,Ito,Aito,JPN,,,94071,9300769,"3 / (5)",303.03
45,Biele,"Gian Andrin",SUI,17,"2003-06-20 00:00:00",88788,9510455,"3 / (6)",302.26
46,Bowman,Joshua,USA,21,"1998-08-08 00:00:00",82668,9531115,"3 / (9)",302.09
47,"O Connor",Seamus,IRL,22,"1997-10-04 00:00:00",75808,1274973,"3 / (4)",292.40
48,Saito,Sota,JPN,,,94998,9300941,"3 / (3)",288.80
49,Bockstaller,Benedikt,GER,,,93071,9200147,"3 / (5)",288.12
50,Stante,Tit,SLO,21,"1998-10-11 00:00:00",80748,9560193,"3 / (5)",282.32
51,Yabu,Ryota,JPN,,,94993,9300922,"3 / (4)",280.35
52,Kim,Kangsan,KOR,,,99191,,"3 / (11)",275.46
53,Aota,Wataru,JPN,,,91501,9300741,"3 / (4)",264.20
54,Maeda,Rion,JPN,,,94994,9300923,"3 / (4)",260.90
55,Kweon,Leejun,KOR,22,"1997-10-24 00:00:00",86412,9320093,"3 / (8)",259.01
56,Pershad,Kiran,CAN,20,"2000-04-28 00:00:00",87920,9100953,"3 / (9)",253.23
57,Craig,Fletcher,NZL,19,"2001-05-25 00:00:00",94323,9410046,"3 / (4)",245.29
58,Hasler,Jonas,SUI,,,92544,,"3 / (4)",245.15
59,Gennero,Lorenzo,ITA,23,"1997-06-30 00:00:00",86558,9290295,"3 / (4)",245.05
60,Collins,Jack,CAN,21,"1998-09-19 00:00:00",78363,9100651,"3 / (7)",242.00
61,Golay,Eliot,SUI,,,98301,9510485,"3 / (4)",239.91
62,Guseli,Valentino,AUS,15,"2005-04-01 00:00:00",88527,9040291,"3 / (3)",236.41
63,Serrano,Shane,USA,25,"1995-02-10 00:00:00",81890,9530954,"3 / (4)",234.70
64,Gray,Charles,USA,,,97749,9531416,"3 / (6)",225.70
65,Lechner,Florian,GER,14,"2005-12-26 00:00:00",93820,,"3 / (4)",221.37
66,Avtaneev,Nikita,RUS,25,"1995-03-09 00:00:00",86316,9480374,"2 / (2)",220.72
67,Goulet,Hunter,USA,,,97647,,"3 / (6)",218.35
68,Vito,Louie,USA,32,"1988-03-20 00:00:00",64517,7535030,"2 / (2)",215.52
69,Gu,Ao,CHN,,,93914,1124957,"3 / (6)",214.09
70,Lenchevskiy,Yaroslav,RUS,,,95784,9480723,"3 / (3)",208.73
71,Kawahara,Shiryu,JPN,,,96524,,"3 / (4)",206.61
72,Adams,Braeden,CAN,22,"1998-03-26 00:00:00",89205,9100713,"3 / (11)",204.65
73,Doi,Takumi,JPN,,,96525,,"3 / (3)",204.15
74,Reeves,Joshua,CAN,,,96695,,"3 / (4)",203.77
75,Podladtchikov,Iouri,SUI,31,"1988-09-13 00:00:00",66812,9510223,"1 / (1)",202.65
76,Gill,Liam,CAN,16,"2003-07-30 00:00:00",88090,9101051,"3 / (8)",198.21
77,Giblin,Parker,USA,,,96119,9531357,"3 / (6)",197.47
78,Aoki,Hironori,JPN,,,99276,,"3 / (3)",195.64
79,Fan,Xiaobing,CHN,,,96066,1124970,"3 / (7)",193.02
80,Aono,Ryo,JPN,30,"1990-05-15 00:00:00",73914,9300018,"1 / (1)",192.69
81,Wang,Xin,CHN,,,96910,9120012,"3 / (4)",190.83
82,Brearley,Liam,CAN,17,"2003-02-27 00:00:00",87932,9101066,"2 / (2)",189.11
83,Senzaki,Shota,JPN,25,"1995-03-26 00:00:00",86201,9300561,"3 / (4)",180.08
84,Schwan,Philip,GER,19,"2000-09-22 00:00:00",92396,9510433,"3 / (3)",175.07
85,Schipani,Dante,USA,,,97781,9531471,"3 / (6)",174.55
86,Cavanagh,Connor,USA,,,98883,,"3 / (6)",171.11
87,Matteoli,Ian,ITA,,,87524,,"3 / (3)",168.43
88,Depriest,Brooklyn,USA,14,"2006-02-21 00:00:00",96997,,"3 / (4)",167.26
90,Minamino,Yo,JPN,,,95807,9300898,"3 / (5)",163.12
91,"KRALJ KOS",Max,SLO,,,81399,9560168,"3 / (3)",161.36
