position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
1,James,Scotty,AUS,26,"1994-07-06 00:00:00",74836,9040117,"3 / (5)",933.33
2,Totsuka,Yuto,JPN,,,81763,9300752,"3 / (9)",875.63
3,Hirano,Ruka,JPN,,,91295,9300799,"3 / (8)",763.71
4,Livingston,Derek,CAN,29,"1991-01-05 00:00:00",79209,9100194,"3 / (4)",690.49
5,Burgener,Patrick,SUI,26,"1994-06-01 00:00:00",72989,9510239,"3 / (7)",689.12
6,Scherrer,Jan,SUI,26,"1994-07-11 00:00:00",63890,9510228,"3 / (8)",664.68
7,Katayama,Raibu,JPN,25,"1995-05-04 00:00:00",83805,9300545,"3 / (3)",659.26
8,Gold,Taylor,USA,26,"1993-11-17 00:00:00",76866,9530459,"3 / (6)",647.58
9,Josey,Chase,USA,25,"1995-03-31 00:00:00",78302,9530715,"3 / (6)",635.46
10,Hoeflich,Andre,GER,23,"1997-04-28 00:00:00",81378,9200110,"3 / (9)",612.56
11,Anai,Ikko,JPN,22,"1997-12-17 00:00:00",82290,9300617,"3 / (4)",592.90
12,Hirano,Kaishu,JPN,,,95889,9300803,"3 / (7)",554.49
13,Wachendorfer,Ryan,USA,24,"1996-02-03 00:00:00",81197,9530811,"3 / (7)",535.17
14,Lee,"Kwang Ki",KOR,26,"1993-10-13 00:00:00",79924,9320033,"3 / (7)",526.47
15,Shigeno,Shuichiro,JPN,,,94996,9300976,"3 / (8)",517.53
16,Blackwell,Chase,USA,21,"1999-02-27 00:00:00",85114,9531125,"3 / (7)",514.36
17,Miller,Toby,USA,20,"2000-02-14 00:00:00",83042,9531142,"3 / (4)",506.91
18,Tait,Rakai,NZL,21,"1998-12-11 00:00:00",85111,9531158,"3 / (7)",500.53
19,Wolle,Jason,USA,20,"1999-11-30 00:00:00",94559,9531295,"3 / (9)",456.07
20,Nakagawa,Kaishu,JPN,,,93137,9300901,"3 / (5)",454.22
21,Habluetzel,David,SUI,24,"1996-04-24 00:00:00",76229,9510324,"3 / (6)",447.09
22,Davis,Danny,USA,32,"1988-06-22 00:00:00",60369,9530002,"2 / (2)",435.79
23,Zhang,Yiwei,CHN,27,"1992-10-03 00:00:00",80528,1124933,"3 / (3)",423.74
24,Foster,Lucas,USA,20,"1999-09-17 00:00:00",92114,9531230,"3 / (11)",403.26
25,Coyne,Jack,USA,18,"2002-01-17 00:00:00",90779,9531302,"3 / (5)",393.72
26,Lechner,Christoph,GER,19,"2000-12-08 00:00:00",92477,9200133,"3 / (7)",386.75
27,Callister,Kent,AUS,24,"1995-11-09 00:00:00",80780,9040186,"3 / (3)",369.58
28,Kikuchihara,Koyata,JPN,,,95076,9300940,"3 / (6)",363.02
29,Fair,Shawn,CAN,19,"2001-06-01 00:00:00",91032,9100854,"3 / (7)",358.61
30,Okesson,Joey,USA,,,96999,9531364,"3 / (6)",355.38
31,Lee,Joon-Sik,KOR,18,"2002-03-07 00:00:00",94553,9320173,"3 / (8)",343.46
32,Wang,Ziyang,CHN,,,97572,1124985,"3 / (6)",340.98
33,Negishi,Shin,JPN,,,93647,9300883,"3 / (3)",339.09
34,Bullock-Womble,Fynn,USA,,,96984,,"3 / (6)",337.55
35,Lecroy,Kolman,USA,,,96120,9531366,"3 / (10)",317.71
36,Tourki,Liam,FRA,21,"1999-03-25 00:00:00",81604,9190385,"3 / (6)",316.32
37,Ivanov,Victor,SUI,21,"1999-03-21 00:00:00",86860,9510386,"3 / (10)",306.29
38,Allenspach,"Elias Gian",SUI,19,"2001-05-14 00:00:00",88792,,"3 / (6)",305.38
39,Okawa,Kotaro,JPN,,,95886,9300835,"3 / (5)",304.88
40,Kuchisubo,Raio,JPN,19,"2001-06-09 00:00:00",89482,9300754,"3 / (6)",304.79
41,Biele,"Gian Andrin",SUI,17,"2003-06-20 00:00:00",88788,9510455,"3 / (6)",302.26
42,Bowman,Joshua,USA,21,"1998-08-08 00:00:00",82668,9531115,"3 / (9)",302.09
43,Bockstaller,Benedikt,GER,,,93071,9200147,"3 / (6)",299.30
44,"O Connor",Seamus,IRL,22,"1997-10-04 00:00:00",75808,1274973,"3 / (4)",292.40
45,Lee,Hyun-Jun,KOR,,,95239,9320181,"3 / (7)",290.28
46,Saito,Sota,JPN,,,94998,9300941,"3 / (4)",288.80
47,Pates,Jake,USA,21,"1998-07-30 00:00:00",82989,9530983,"3 / (3)",285.17
48,Stante,Tit,SLO,21,"1998-10-11 00:00:00",80748,9560193,"3 / (5)",282.32
49,Gennero,Lorenzo,ITA,23,"1997-06-30 00:00:00",86558,9290295,"3 / (5)",282.11
50,Yabu,Ryota,JPN,,,94993,9300922,"3 / (4)",280.35
51,Kim,Kangsan,KOR,,,99191,,"3 / (9)",275.46
52,Aota,Wataru,JPN,,,91501,9300741,"3 / (4)",264.20
53,Ito,Aito,JPN,,,94071,9300769,"3 / (4)",261.30
54,Maeda,Rion,JPN,,,94994,9300923,"3 / (5)",260.90
55,Pershad,Kiran,CAN,20,"2000-04-28 00:00:00",87920,9100953,"3 / (9)",253.23
56,Kweon,Leejun,KOR,22,"1997-10-24 00:00:00",86412,9320093,"3 / (6)",246.99
57,Craig,Fletcher,NZL,19,"2001-05-25 00:00:00",94323,9410046,"3 / (4)",245.29
58,Hasler,Jonas,SUI,,,92544,,"3 / (4)",245.15
59,Collins,Jack,CAN,21,"1998-09-19 00:00:00",78363,9100651,"3 / (7)",242.00
60,Golay,Eliot,SUI,,,98301,9510485,"3 / (5)",239.91
61,Guseli,Valentino,AUS,15,"2005-04-01 00:00:00",88527,9040291,"3 / (3)",236.41
62,Serrano,Shane,USA,25,"1995-02-10 00:00:00",81890,9530954,"3 / (4)",234.70
63,Gray,Charles,USA,,,97749,9531416,"3 / (6)",225.70
