position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
76,Serrano,Shane,USA,25,"1995-02-10 00:00:00",81890,9530954,"2 / (2)",167.15
82,Kuchisubo,Raio,JPN,19,"2001-06-09 00:00:00",89482,9300754,"2 / (2)",155.41
98,Nagata,Hironori,JPN,,,84326,9300805,"1 / (1)",124.87
101,Matteoli,Ian,ITA,,,87524,,"2 / (2)",121.57
103,Yabu,Ryota,JPN,,,94993,9300922,"1 / (1)",114.10
107,Hoepfl,Johannes,GER,24,"1995-08-12 00:00:00",77864,9200089,"1 / (1)",109.80
119,Rohrt,Odin,NOR,15,"2004-12-15 00:00:00",93544,9420169,"2 / (2)",95.63
128,Doi,Takumi,JPN,,,96525,,"1 / (1)",88.25
134,Taklo,Johannes,NOR,,,93190,9420163,"2 / (2)",81.55
135,Negishi,Shin,JPN,,,93647,9300883,"1 / (1)",81.27
144,Aota,Wataru,JPN,,,91501,9300741,"1 / (1)",74.88
153,Modesti,Michael,CAN,19,"2001-07-12 00:00:00",91040,9100907,"2 / (2)",69.39
159,Waibl,Clemens,AUT,,,21452,9050068,"1 / (1)",60.69
165,Ishizaki,Tasuku,JPN,37,"1982-12-06 00:00:00",73922,,"1 / (1)",58.57
174,Miltimore,Jacob,CAN,17,"2003-02-25 00:00:00",93495,9101019,"2 / (2)",54.93
179,Staudt,Bernhard,GER,,,79361,9200171,"1 / (1)",51.84
180,Menzies,Dane,CAN,15,"2005-03-27 00:00:00",92604,9101168,"2 / (2)",51.69
184,Murayama,Makoto,JPN,44,"1976-05-14 00:00:00",73935,9300579,"1 / (1)",49.35
185,Rose,Michael,USA,,,84066,,"2 / (2)",49.13
188,Kauranen,Mitja,FIN,,,93243,,"1 / (1)",48.34
189,Ploetzeneder,Max,AUT,,,79642,,"1 / (1)",47.88
193,Shi,Shangqian,CHN,,,98671,9120015,"1 / (1)",45.76
196,Toledo,Antoni,ESP,,,97866,9490230,"1 / (1)",44.54
202,ROBERTSON-HAHN,Joshua,AUS,,,94284,9040292,"1 / (1)",42.18
204,Partanen,Aatu,FIN,,,93237,9180192,"1 / (1)",42.01
208,Rodriguez,Lukas,ESP,,,97669,9490234,"1 / (1)",41.30
209,Senzaki,Shota,JPN,25,"1995-03-26 00:00:00",86201,9300561,"1 / (1)",41.05
212,Hoflacher,Roman,AUT,,,91826,,"1 / (1)",40.69
218,Senevisai,Cherokee,USA,,,98960,,"1 / (1)",38.25
220,Frischhut,Lukas,AUT,,,92521,9050276,"1 / (1)",37.39
221,Chen,Maxson,AUS,,,92310,9040299,"1 / (1)",36.44
225,Huber,Niklas,GER,16,"2004-04-17 00:00:00",92995,9200181,"1 / (1)",34.23
227,Jablonski,Max,CAN,,,97944,,"2 / (2)",33.90
229,Sonoda,Keigo,JPN,,,97161,,"1 / (1)",33.40
230,Haakonsen,Terje,NOR,45,"1974-10-11 00:00:00",47832,,"1 / (1)",33.33
232,Kautonen,Valtteri,FIN,,,93246,9180186,"1 / (1)",32.73
234,Girardon,Ethan,SUI,,,93060,9510446,"1 / (1)",31.94
236,Frischhut,Paul,AUT,,,95051,,"1 / (1)",31.20
240,Ohashi,Kosuke,JPN,,,99464,,"1 / (1)",29.77
241,JOERGENSEN,"Len Roald",NOR,27,"1992-10-26 00:00:00",75848,9420092,"1 / (1)",29.57
242,Knellwolf,Andrin,SUI,,,92982,9510508,"1 / (1)",28.92
243,Ostapovich,Kale,CAN,,,96219,9100978,"1 / (1)",28.45
244,Nunez,Jascha,AUT,,,100457,,"1 / (1)",28.28
251,Kirkevoll,Embrik,NOR,,,94742,,"1 / (1)",26.38
252,Steffensen,Lasse,NOR,,,93760,,"2 / (2)",26.34
253,Aoki,Makoto,JPN,,,90142,1232385,"1 / (1)",26.22
254,Gron,Petter,NOR,23,"1996-08-11 00:00:00",86609,,"1 / (1)",26.20
256,Chen,Vinson,AUS,,,92299,9040300,"1 / (1)",26.02
257,Lotz,Peter,GER,,,98008,,"1 / (1)",25.45
260,Smith,Ethan,GBR,17,"2003-06-12 00:00:00",86275,9220081,"1 / (1)",23.96
260,Ewert,Lucas,CAN,,,97953,,"1 / (1)",23.96
270,Hanada,Ryoya,JPN,,,95211,,"1 / (1)",22.77
271,Kamissek,Luka,GER,,,98648,,"1 / (1)",22.71
280,Lane,Charlie,GBR,,,94806,,"1 / (1)",21.23
282,Skogheim,Joachim,NOR,,,88965,,"1 / (1)",20.77
284,Otterstad,Marius,NOR,,,70455,1424965,"1 / (1)",20.41
285,"Plur De La Rosa",Joao,GER,10,"2009-12-15 00:00:00",96339,,"1 / (1)",20.01
289,Burri,Rafael,SUI,,,98306,,"1 / (1)",19.07
289,Zürni,Danjamin,SUI,,,98358,,"1 / (1)",19.07
292,Sukke,Niklas,NOR,,,99329,,"1 / (1)",18.34
295,Varner,Justin,USA,,,100086,,"1 / (1)",17.97
297,Lekang,Kristian,NOR,30,"1989-08-15 00:00:00",70946,,"1 / (1)",17.90
299,Kurstatscher,Tim,GER,,,99216,,"1 / (1)",17.40
300,Schütz,Raffael,SUI,,,94129,,"1 / (1)",17.33
302,Augsburger,Jonas,SUI,,,97640,,"1 / (1)",17.14
306,Golinczak,Jan,POL,13,"2007-06-29 00:00:00",98416,,"1 / (1)",16.66
312,Noda,Junya,JPN,,,73626,,"1 / (1)",16.03
313,Bondi,Nicolo,ITA,,,97283,,"1 / (1)",15.94
315,Pickard,Andrew,BEL,,,98309,,"2 / (2)",15.76
317,Ernst,Wyatt,CAN,,,94655,9101135,"1 / (1)",15.70
318,Karhila,Roni,FIN,,,95037,9180194,"1 / (1)",15.62
320,Rustad,Markus,NOR,23,"1996-09-16 00:00:00",91249,9420151,"1 / (1)",15.58
322,Broadbent,Leon,SUI,,,98360,,"1 / (1)",15.34
325,Frey,Emil,GER,,,98658,,"1 / (1)",14.81
329,Seymour,Bailey,CAN,18,"2002-07-05 00:00:00",92605,,"2 / (2)",14.33
330,Rozas,Luis,SUI,,,91087,,"1 / (1)",14.30
333,Zürcher,Mischa,SUI,,,95803,,"1 / (1)",13.84
336,Tveiten,Sindre,NOR,22,"1998-04-05 00:00:00",92592,9420153,"1 / (1)",13.44
337,"De Martin",Tommy,ITA,,,99973,,"1 / (1)",13.42
339,Fantuz,Dawson,CAN,,,96214,9101078,"1 / (1)",12.85
341,Kaku,Yusei,JPN,,,98221,9300925,"1 / (1)",12.77
347,Illi,Konstantin,GER,,,98647,,"1 / (1)",12.28
348,McCagherty,Ethan,CAN,,,97947,,"1 / (1)",12.15
349,Tessand,Jakob,NOR,,,96483,,"1 / (1)",12.15
352,Jörg,Matti,SUI,,,98359,,"1 / (1)",11.95
353,Li,Muyang,CHN,,,99722,9120041,"1 / (1)",11.79
353,Peterson-Zopf,Dylan,USA,,,97758,9531474,"1 / (1)",11.79
356,Melliger,"Zoel Iago",SUI,,,98362,,"1 / (1)",11.62
357,Grimsrud,"Per Iver",NOR,36,"1983-09-21 00:00:00",29022,,"1 / (1)",11.44
358,Perroud,Timothy,SUI,,,96445,9510442,"1 / (1)",11.38
360,Staib,Remy,SUI,,,98343,,"1 / (1)",11.00
362,Spence,MacKay,CAN,,,96584,9101127,"1 / (1)",10.77
366,Balmer,Dia,SUI,,,98338,,"1 / (1)",10.71
366,Diener,Arvian,SUI,,,99778,,"1 / (1)",10.71
368,Hagen,Haavard,NOR,,,94620,,"1 / (1)",10.36
371,Fischer,Cedric,SUI,,,98348,,"1 / (1)",10.14
374,Haberzettl,Jasper,GER,,,99968,,"1 / (1)",9.86
375,Mueller,Florian,GER,,,99289,,"1 / (1)",9.77
377,Knöri,Morris,SUI,,,98333,,"1 / (1)",9.59
378,Nordgaard,Trym,NOR,28,"1992-05-26 00:00:00",73222,9420084,"1 / (1)",9.56
380,Pünter,Tom,SUI,,,98266,,"1 / (1)",9.32
380,Stalder,Timon,SUI,,,98354,,"1 / (1)",9.32
387,Groterud,Magnus,NOR,,,93196,9420171,"1 / (1)",8.67
388,Zürcher,Robin,SUI,,,95801,,"1 / (1)",8.53
390,Fischer,Patrice,SUI,,,98344,,"1 / (1)",8.27
390,Ineichen,Leander,SUI,12,"2008-05-28 00:00:00",98330,,"1 / (1)",8.27
395,Aalto,Roni,FIN,,,96435,,"1 / (1)",8.06
398,Christensen,Christian,NOR,,,62936,,"1 / (1)",7.79
399,Hitz,Nando,SUI,,,98268,,"1 / (1)",7.75
399,Golland,"Carlo Caetano",SUI,,,98351,,"1 / (1)",7.75
403,Hietikko,Jere,FIN,,,93960,,"1 / (1)",7.66
407,Ganserer,Lenz,GER,,,98287,,"1 / (1)",7.29
409,Müller,Max,SUI,,,99989,,"1 / (1)",7.24
