position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
1,Kim,Chloe,USA,19,"2000-04-23 00:00:00",77873,9535393,"3 / (6)",1000.00
2,Liu,Jiayu,CHN,27,"1992-09-17 00:00:00",77457,1129974,"3 / (5)",834.00
3,Clark,Kelly,USA,36,"1983-07-26 00:00:00",65566,1470811,"3 / (6)",819.11
4,Mastro,Maddie,USA,19,"2000-02-22 00:00:00",77905,9535389,"3 / (6)",805.30
5,Gold,Arielle,USA,23,"1996-05-04 00:00:00",76874,9535287,"3 / (6)",794.39
6,Castellet,Queralt,ESP,30,"1989-06-17 00:00:00",75419,1499921,"3 / (5)",732.21
7,Cai,Xuetong,CHN,26,"1993-09-26 00:00:00",79864,1129975,"3 / (5)",698.96
8,Tomita,Sena,JPN,20,"1999-10-05 00:00:00",81785,9305313,"3 / (8)",684.20
9,Matsumoto,Haruna,JPN,26,"1993-07-26 00:00:00",76642,9305166,"3 / (4)",647.10
10,Imai,Kurumi,JPN,20,"1999-09-24 00:00:00",84354,9305315,"3 / (7)",638.60
11,Oe,Hikaru,JPN,24,"1995-08-03 00:00:00",79067,9305241,"3 / (7)",611.69
12,Bright,Torah,AUS,32,"1986-12-27 00:00:00",43778,1049932,"3 / (4)",564.44
13,Teter,Hannah,USA,32,"1987-01-27 00:00:00",50723,7313934,"3 / (3)",528.62
14,Arthur,Emily,AUS,20,"1999-04-24 00:00:00",75465,9045073,"3 / (8)",506.60
15,Thovex,Mirabelle,FRA,28,"1991-08-24 00:00:00",72764,9195025,"3 / (4)",498.79
16,Maud,Tessa,USA,,,95320,9535486,"3 / (8)",449.30
17,Ono,Mitsuki,JPN,,,91506,9305411,"3 / (6)",445.20
18,Rohrer,Verena,SUI,23,"1996-04-08 00:00:00",82499,9515128,"3 / (5)",419.07
19,Li,Shuang,CHN,27,"1992-06-27 00:00:00",79950,1129977,"3 / (5)",413.16
20,Verdnik,Kaja,SLO,20,"1999-02-23 00:00:00",87134,1569999,"3 / (9)",372.70
21,Tomita,Ruki,JPN,,,81778,9305337,"3 / (5)",365.45
